###########################################
S     #       #       #   #   #     #     #
# ##### ##### ### ### ### # # ### # ### # #
#   #     #   #   # #     # #   # #     # #
# ### ### # ######### ##### ### ### ##### #
# #   #   #       #       #     #       # #
# # ### ######### # ##### ### # ### ### # #
# #   #   #     # #   #   # # #   # #   # #
# ### # ### ### # ### ### # # ### # # ### #
#   # #     #   #     #   #     # # #     #
### # ####### ######### ### ### # # ### ###
#   #         #         #   #   # #     # #
# ### ######### ### ##### ### ##### ### ###
# #   #       # # #     #   #     # #   # #
# # ### ### ### # # ### # ### ### # # ### #
# #   # #   #   # #   # #   #   # # #   # #
##### # ### # ##### ### ### # ### ### #####
#     #   # #       #     # #   #     #   #
### ### # # ####### ##### ### ### ### # ###
#   #   # # #     # #   # #   #   # # #   #
# ### ### ### ### ### # # # ### ### # #####
#   #     # #   #     # # #   #     #     #
# ##### ### ### ### ### ### ######### ### #
#     #     #   #     #           #   #   #
### ### ### # ######### ### # ### ### ### #
#   #     # #         #   # #   #     #   #
# ### ### # ######### ### # ### # ### # ###
#     #   #   #     #     #   # #   # #   #
##### ### ### # ### ######### ### ### ### #
#   #   #     # #   #         # #     #   #
# ### ### ##### ### # ######### ### ### ###
# #   #         #   # #   #     #   #     #
# # ### ######### ### ### # ### ### ### ###
# #     #       #   #     #   #     #     #
###########################################
